time,value,value_impute,Anomaly
2012-01-01 0:05,0.211998365,0.211998365,X
2012-01-01 0:10,0.222132131,0.222132131,X
2012-01-01 0:15,0.20875558,0.20875558,X
2012-01-01 0:20,0.209566302,0.209566302,X
2012-01-01 0:25,0.211187694,0.211187694,X
2012-01-01 0:30,0.212809086,0.212809086,X
2012-01-01 0:35,0.211998416,0.211998416,X
2012-01-01 0:40,0.210376972,0.210376972,X
2012-01-01 0:45,0.226590998,0.226590998,X
2012-01-01 0:50,0.211998365,0.211998365,X
2012-01-01 0:55,0.214025169,0.214025169,X
2012-01-01 1:00,0.21483584,0.21483584,X
2012-01-01 1:05,0.219294707,0.219294707,X
2012-01-01 1:10,0.212809086,0.212809086,X
2012-01-01 1:15,0.219700016,0.219700016,X
2012-01-01 1:20,0.223753523,0.223753523,X
2012-01-01 1:25,0.234697959,0.234697959,O
2012-01-01 1:30,0.220105429,0.220105429,X
2012-01-01 1:35,0.222132131,0.222132131,X
2012-01-01 1:40,0.219294707,0.219294707,X
2012-01-01 1:45,0.221726821,0.221726821,X
2012-01-01 1:50,0.216862541,0.216862541,X
2012-01-01 1:55,0.227807029,0.227807029,X
2012-01-01 2:00,0.216051923,0.216051923,X
2012-01-01 2:05,0.228617751,0.228617751,X
2012-01-01 2:10,0.21564651,0.21564651,X
2012-01-01 2:15,0.211187643,0.211187643,X
2012-01-01 2:20,0.212809086,0.212809086,X
2012-01-01 2:25,0.216862593,0.216862593,X
2012-01-01 2:30,0.213619757,0.213619757,X
2012-01-01 2:35,0.210782333,0.210782333,X
2012-01-01 2:40,0.216051819,0.216051819,X
2012-01-01 2:45,0.396027597,0.396027597,O
2012-01-01 2:50,0.404539867,0.404539867,O
2012-01-01 2:55,0.394000792,0.394000792,X
2012-01-01 3:00,0.310903859,0.310903859,X
2012-01-01 3:05,0.228212442,0.228212442,X
2012-01-01 3:10,0.211187694,0.211187694,X
2012-01-01 3:15,0.209971611,0.209971611,X
2012-01-01 3:20,0.211998365,0.211998365,X
2012-01-01 3:25,0.222537492,0.222537492,X
2012-01-01 3:30,0.252128068,0.252128068,X
2012-01-01 3:35,0.269152815,0.269152815,X
2012-01-01 3:40,0.265504618,0.265504618,X
2012-01-01 3:45,0.246047808,0.246047808,X
2012-01-01 3:50,0.242804972,0.242804972,X
2012-01-01 3:55,0.237940795,0.237940795,X
2012-01-01 4:00,0.226996359,0.226996359,X
2012-01-01 4:05,0.227807029,0.227807029,X
2012-01-01 4:10,0.22821239,0.22821239,X
2012-01-01 4:15,0.238346156,0.238346156,X
2012-01-01 4:20,0.242399663,0.242399663,X
2012-01-01 4:25,0.245237086,0.245237086,X
2012-01-01 4:30,0.237535434,0.237535434,X
2012-01-01 4:35,0.23429265,0.23429265,X
2012-01-01 4:40,0.233481928,0.233481928,X
2012-01-01 4:45,0.235508681,0.235508681,X
2012-01-01 4:50,0.230644504,0.230644504,X
2012-01-01 4:55,,0.226706815,X
2012-01-01 5:00,,0.222769126,X
2012-01-01 5:05,,0.218831437,X
2012-01-01 5:10,,0.214893748,X
2012-01-01 5:15,,0.210956059,X
2012-01-01 5:20,,0.20701837,X
2012-01-01 5:25,0.203080681,0.203080681,X
2012-01-01 5:30,0.207134188,0.207134188,X
2012-01-01 5:35,0.206323466,0.206323466,X
2012-01-01 5:40,0.203486042,0.203486042,X
2012-01-01 5:45,0.200648516,0.200648516,X
2012-01-01 5:50,0.198621814,0.198621814,X
2012-01-01 5:55,0.199837845,0.199837845,X
2012-01-01 6:00,0.1961897,0.1961897,X
2012-01-01 6:05,0.197405783,0.197405783,X
2012-01-01 6:10,0.197405731,0.197405731,X
2012-01-01 6:15,0.197000422,0.197000422,X
2012-01-01 6:20,0.19578439,0.19578439,X
2012-01-01 6:25,0.196595061,0.196595061,X
2012-01-01 6:30,0.196189751,0.196189751,X
2012-01-01 6:35,0.196189751,0.196189751,X
2012-01-01 6:40,0.197405783,0.197405783,X
2012-01-01 6:45,0.205512796,0.205512796,O
2012-01-01 6:50,0.203486042,0.203486042,X
2012-01-01 6:55,0.200648567,0.200648567,X
2012-01-01 7:00,0.200648567,0.200648567,X
2012-01-01 7:05,0.199432536,0.199432536,X
2012-01-01 7:10,0.199837897,0.199837897,X
2012-01-01 7:15,0.197405731,0.197405731,X
2012-01-01 7:20,0.197811144,0.197811144,X
2012-01-01 7:25,0.194162947,0.194162947,X
2012-01-01 7:30,0.193352225,0.193352225,X
2012-01-01 7:35,0.194568308,0.194568308,X
2012-01-01 7:40,0.197000473,0.197000473,X
2012-01-01 7:45,0.199837845,0.199837845,X
2012-01-01 7:50,0.209160941,0.209160941,O
2012-01-01 7:55,0.197000422,0.197000422,X
2012-01-01 8:00,0.200243206,0.200243206,X
2012-01-01 8:05,0.199027175,0.199027175,X
2012-01-01 8:10,0.209971611,0.209971611,X
2012-01-01 8:15,0.196595061,0.196595061,X
2012-01-01 8:20,0.19537903,0.19537903,X
2012-01-01 8:25,0.199027123,0.199027123,X
2012-01-01 8:30,0.197811092,0.197811092,X
2012-01-01 8:35,0.199027123,0.199027123,X
2012-01-01 8:40,0.201459289,0.201459289,X
2012-01-01 8:45,0.208350219,0.208350219,X
2012-01-01 8:50,0.209971611,0.209971611,X
2012-01-01 8:55,0.199432536,0.199432536,X
2012-01-01 9:00,0.199837845,0.199837845,X
2012-01-01 9:05,0.196595061,0.196595061,X
2012-01-01 9:10,0.196595061,0.196595061,X
2012-01-01 9:15,0.194568308,0.194568308,X
2012-01-01 9:20,0.194162947,0.194162947,X
